"","long","lat","group","year"
"49702",-117.14,34.27,"92.1",2006
"49988",-117.14,34.26,"92.1",2006
"50035",-117.15,34.26,"92.1",2006
"50836",-117.15,34.27,"92.1",2006
"50923",-117.15,34.28,"92.1",2006
"51226",-117.16,34.27,"92.1",2006
"52110",-117.16,34.28,"92.1",2006
"52317",-117.17,34.28,"92.1",2006
"52879",-117.14,34.28,"92.1",2006
"53177",-117.18,34.3,"92.2",2006
"53180",-117.17,34.3,"92.2",2006
"53408",-117.16,34.3,"92.2",2006
"53568",-117.16,34.29,"92.2",2006
"53702",-117.15,34.29,"92.2",2006
"53922",-117.16,34.28,"92.2",2006
"54052",-117.17,34.28,"92.2",2006
"55470",-117.19,34.3,"92.2",2006
"55624",-117.2,34.3,"92.2",2006
"55951",-117.21,34.3,"92.2",2006
"56215",-117.21,34.29,"92.2",2006
"57297",-117.14,34.28,"92.3",2006
"57488",-117.15,34.28,"92.3",2006
"57551",-117.15,34.27,"92.3",2006
"57598",-117.14,34.27,"92.3",2006
"57810",-117.13,34.28,"92.3",2006
"57958",-117.14,34.28,"92.4",2006
"58129",-117.13,34.28,"92.4",2006
"58221",-117.15,34.28,"92.5",2006
"58425",-117.13,34.27,"92.6",2006
"58519",-117.16,34.3,"92.7",2006
"58541",-117.15,34.28,"92.8",2006
"58556",-120.53,39.2,"100.1",2006
"58667",-120.54,39.2,"100.1",2006
"58746",-120.54,39.21,"100.2",2006
"58770",-120.54,39.2,"100.2",2006
"58939",-120.54,39.19,"100.3",2006
"58952",-120.53,39.19,"100.3",2006
"58984",-120.54,39.2,"100.4",2006
"58997",-120.54,39.19,"100.4",2006
"59007",-120.55,39.19,"100.4",2006
"59009",-120.55,39.2,"100.4",2006
"59050",-120.54,39.2,"100.5",2006
"59066",-120.53,39.2,"100.5",2006
"59071",-121.04,40.4,"101.1",2006
"59133",-121.05,40.4,"101.1",2006
"59138",-121.05,40.39,"101.1",2006
"59148",-121.05,40.38,"101.1",2006
"59153",-121.06,40.38,"101.1",2006
"59198",-121.06,40.39,"101.1",2006
"59210",-121.07,40.39,"101.1",2006
"59338",-121.07,40.41,"101.2",2006
"59346",-121.06,40.41,"101.2",2006
"59394",-121.08,40.41,"101.2",2006
"59425",-121.08,40.4,"101.2",2006
"59426",-121.09,40.41,"101.2",2006
"59461",-121.09,40.4,"101.3",2006
"59467",-121.1,40.4,"101.3",2006
